Script Name, Function Name, Location, Expression
72890.js,"ForStatement[0,2].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
220269.js,"UnaryExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
696.js,"Statement[2,0].LabelledEvaluation","Some((step 1, 2:12-56))","Vector(return %0)"
250680.js,"ArrayBindingPattern[2,1].BoundNames","Some((step 1, 2:12-63))","Vector(let names1 = %0)"
348526.js,"LogicalORExpression[1,0].HasCallInTailPosition","Some((step 1, 2:21-89))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
264421.js,"MemberExpression[3,0].Evaluation","Some((step 2, 3:14 - 4:56))","Vector(let tagFunc = [? %1], let thisCall = this[0])"
374491.js,"INTRINSICS.Array.of","Some((step 5.a, 8:29-47))","call %2 = clo<ArrayCreate>(len)"
299617.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 1, 2:14-35))","Vector(let has = false)"
299617.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 7, 8:14-27))","Vector(return has)"
230779.js,"OptionalExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-83))","Vector(return %0)"
15.js,"BitwiseORExpression[1,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
190748.js,"ForStatement[2,1].VarScopedDeclarations","Some((step 1, 2:12-60))","Vector(return %0)"
25072.js,"AsyncIteratorClose","Some((step 7, 12:60-90))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#79]))"
312941.js,"ConditionalExpression[1,0].HasCallInTailPosition","Some((step 2, 3:17-32))","(= has true)"
381954.js,"INTRINSICS.print","None","Vector(let x = absent)"
268331.js,"ArrayAssignmentPattern[2,1].DestructuringAssignmentEvaluation","Some((step 3.a, 5:19-55))","(= iteratorRecord.Done false)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.c, 36:55-76))","call %15 = clo<UpdateEmpty>(R, V)"
250680.js,"ArrayBindingPattern[2,1].BoundNames","Some((step 2, 3:12 - 4:67))","Vector(let names2 = %1, return (list-concat names1 names2)[#91])"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.b, 17:16-58))","Vector(let result = %0)"
237040.js,"ImportCall[0,0].Evaluation","Some((step 1, 2:14-75))","Vector(let referencingScriptOrModule = %0)"
17.js,"BitwiseANDExpression[1,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
337825.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 6, 7:54-138))","Vector(let has = %2)"
341769.js,"INTRINSICS.Array.prototype.findIndex","Some((step 3, 4:53-83))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#1025]))"
152617.js,"ShiftExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
337825.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 4, 5:14-89))","Vector(let has = %1)"
216449.js,"LabelledItem[0,0].TopLevelVarScopedDeclarations","Some((step 1, 2:96-140))","sdo-call %0 = this[0]->TopLevelVarScopedDeclarations()"
216449.js,"LabelledItem[0,0].TopLevelVarScopedDeclarations","Some((step 1, 2:89-141))","Vector(return %0)"
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 25.e.iii, 80:22-64))","Vector(let container = staticPrivateMethods)"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.e, 20:16-35))","Vector(return undefined)"
337825.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 5, 6:17-32))","(= has true)"
370413.js,"FunctionDeclarationInstantiation","Some((step 28.e.i.4.a, 87:20-80))","Vector(let initialValue = [! %31])"
211311.js,"ForStatement[2,1].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[3]->HasCallInTailPosition(call)"
371399.js,"LabelledItem[0,0].TopLevelVarDeclaredNames","Some((step 1, 2:89-136))","Vector(return %0)"
308366.js,"CallExpression[6,0].HasCallInTailPosition","Some((step 2, 3:14-29))","Vector(return false)"
223613.js,"BitwiseORExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
296183.js,"BindingElisionElement[0,1].BoundNames","Some((step 1, 2:19-49))","sdo-call %0 = this[1]->BoundNames()"
296183.js,"BindingElisionElement[0,1].ContainsExpression","Some((step 1, 2:12-58))","Vector(return %0)"
3501.js,"BindingIdentifier[2,0].BindingInitialization","Some((step 1, 2:21-75))","call %0 = clo<InitializeBoundName>("await", value, environment)"
115584.js,"ArrayAssignmentPattern[2,1].DestructuringAssignmentEvaluation","Some((step 3.b, 6:16-34))","Vector(return [? status])"
337825.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 1, 2:35-108))","sdo-call %0 = this[0]->ArrayAccumulation(array, nextIndex)"
309368.js,"AssignmentExpression[6,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
391150.js,"BigInt::remainder","Some((step 2, 3:43-66))","Vector(return 0n)"
230779.js,"OptionalExpression[1,0].HasCallInTailPosition","Some((step 1, 2:21-82))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
176532.js,"CallExpression[4,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
71481.js,"CaseBlock[1,1].CaseBlockEvaluation","Some((step 13, 31:53-74))","call %11 = clo<UpdateEmpty>(R, V)"
307431.js,"ShiftExpression[3,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
222368.js,"RelationalExpression[5,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
251829.js,"RelationalExpression[4,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 4, 5:27-88))","sdo-call %1 = this[1]->HasCallInTailPosition(call)"
212298.js,"AssignmentExpression[3,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
237040.js,"ImportCall[0,0].Evaluation","Some((step 2, 3:14-78))","Vector(let argRef = %1)"
239974.js,"AsyncGeneratorDeclaration[0,0].IsConstantDeclaration","Some((step 1, 2:12-27))","Vector(return false)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 7.a, 9:36-57))","call %2 = clo<IteratorValue>(next)"
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 1.a, 3:16-107))","Vector(nextIndex = [? %0])"
214015.js,"MemberExpression[3,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
173058.js,"RelationalExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
251828.js,"RelationalExpression[3,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
348526.js,"LogicalORExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-90))","Vector(return %0)"
173625.js,"UnaryExpression[6,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
378332.js,"PrimaryExpression[10,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 1, 2:12 - 3:57))","Vector(let v = undefined, assert (= iteratorRecord.Done false))"
262872.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 1, 2:12-68))","Vector(let has = %0)"
150657.js,"Statement[12,0].LabelledEvaluation","Some((step 1, 2:19-55))","sdo-call %0 = this->Evaluation()"
262872.js,"ArrayBindingPattern[2,3].BoundNames","Some((step 2, 3:12 - 4:67))","Vector(let names2 = %1, return (list-concat names1 names2)[#92])"
324045.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 16, 37:12-23))","Vector(return V)"
374274.js,"ForStatement[2,2].ForLoopEvaluation","Some((step 8.a, 14:16 - 15:34))","Vector(@EXECUTION_STACK[0].LexicalEnvironment = oldEnv, return [? forDcl])"
285452.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 2, 3:21-106))","sdo-call %1 = this[1]->IteratorDestructuringAssignmentEvaluation(iteratorRecord)"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 5, 6:17-32))","(= has true)"
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 30, 101:12 - 102:66))","Vector(let method = %30[%29])"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 2.a, 4:37-106))","sdo-call %1 = this[1]->ArrayAccumulation(array, nextIndex)"
312941.js,"ConditionalExpression[1,0].HasCallInTailPosition","Some((step 1, 2:27-105))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
191432.js,"CallExpression[5,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
191051.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 2, 3:32-46))","Vector(return true)"
28281.js,"OptionalExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-83))","Vector(return %0)"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 1, 2:14-35))","Vector(let has = false)"
328190.js,"AssignmentExpression[6,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 5, 6:17-32))","(= has true)"
312941.js,"ConditionalExpression[1,0].HasCallInTailPosition","Some((step 3, 4:14-101))","Vector(return %1)"
360646.js,"AssignmentExpression[7,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.c, 36:17-44))","(&& (comp? R) (! (= R.Type ~normal~)))"
219028.js,"AsyncArrowFunction[0,0].NamedEvaluation","Some((step 1, 2:12-104))","Vector(return %0)"
371399.js,"LabelledItem[0,0].TopLevelVarDeclaredNames","Some((step 1, 2:96-135))","sdo-call %0 = this[0]->TopLevelVarDeclaredNames()"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.b, 17:32-57))","call %0 = clo<ThrowCompletion>(reason)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 8, 12:21-102))","sdo-call %4 = this[0]->BindingInitialization(v, environment)"
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 3, 5:21-124))","sdo-call %2 = this[2]->IteratorBindingInitialization(iteratorRecord, environment)"
294432.js,"AsyncGeneratorAwaitReturn:clo1","None","Vector(let reason = (pop < argumentsList))"
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 1.a, 3:37-106))","sdo-call %0 = this[0]->ArrayAccumulation(array, nextIndex)"
282074.js,"ArrayBindingPattern[2,0].ContainsExpression","Some((step 1, 2:12-62))","Vector(return %0)"
183452.js,"ArrayBindingPattern[2,2].ContainsExpression","Some((step 1, 2:19-61))","sdo-call %0 = this[0]->ContainsExpression()"
263228.js,"ForStatement[0,1].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[3]->HasCallInTailPosition(call)"
378334.js,"MemberExpression[5,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
183452.js,"ArrayBindingPattern[2,2].ContainsExpression","Some((step 1, 2:12-62))","Vector(return %0)"
222460.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 1, 2:12-108))","Vector([? %0])"
285273.js,"PrimaryExpression[8,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
223901.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 1, 2:12-68))","Vector(let has = %0)"
106163.js,"ForStatement[0,0].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
191071.js,"ForStatement[1,1].VarScopedDeclarations","Some((step 1, 2:35-85))","sdo-call %0 = this[0]->VarScopedDeclarations()"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)"
221288.js,"ClassTail[0,1].ClassDefinitionEvaluation:clo0","Some((step 14.a.ii, 40:45-75))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#707]))"
262872.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 1, 2:25-67))","sdo-call %0 = this[0]->ContainsExpression()"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 7, 8:14-27))","Vector(return has)"
101760.js,"MemberExpression[3,0].Evaluation","Some((step 1, 2:14-74))","Vector(let tagRef = %0)"
308366.js,"CallExpression[6,0].HasCallInTailPosition","Some((step 1, 2:17-48))","(= this[0] call)"
282074.js,"ArrayBindingPattern[2,0].BoundNames","Some((step 1, 2:12-58))","Vector(return %0)"
227223.js,"Statement[13,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 6, 7:15-32))","(= next false)"
202891.js,"ExponentiationExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
219028.js,"AsyncArrowFunction[0,0].NamedEvaluation","Some((step 1, 2:19-103))","sdo-call %0 = this->InstantiateAsyncArrowFunctionExpression(name)"
282375.js,"DoWhileStatement[0,0].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[0]->HasCallInTailPosition(call)"
373630.js,"MemberExpression[3,0].HasCallInTailPosition","Some((step 1, 2:17-50))","(= this[0] call)"
181227.js,"Number::multiply","Some((step 5.a, 15:46-71))","Vector(return 0.0f)"
278342.js,"RelationalExpression[6,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
72890.js,"ForStatement[0,2].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[3]->HasCallInTailPosition(call)"
23588.js,"Statement[4,0].LabelledEvaluation","Some((step 1, 2:19-55))","sdo-call %0 = this->Evaluation()"
359874.js,"AsyncGeneratorDrainQueue","Some((step 5.c.ii, 11:28-66))","call %1 = clo<AsyncGeneratorAwaitReturn>(generator)"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 1, 2:14-109))","Vector(nextIndex = [? %0])"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","Vector(%12 = (+ %12 1))"
237040.js,"ImportCall[0,0].Evaluation","Some((step 1, 2:49-74))","call %0 = clo<GetActiveScriptOrModule>()"
350228.js,"CoalesceExpression[0,0].HasCallInTailPosition","Some((step 1, 2:14-89))","Vector(return %0)"
322717.js,"INTRINSICS.Object.defineProperty","None","Vector(let Attributes = absent)"
392657.js,"PrimaryExpression[6,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
312395.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 6, 7:34-74))","Vector(iteratorRecord.Done = true)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.a, 34:14-67))","Vector(let R = %14)"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 4, 5:14-89))","Vector(let has = %1)"
296183.js,"BindingElisionElement[0,1].ContainsExpression","Some((step 1, 2:19-57))","sdo-call %0 = this[1]->ContainsExpression()"
29344.js,"AsyncArrowBindingIdentifier[0,0].ContainsExpression","Some((step 1, 2:12-27))","Vector(return false)"
3501.js,"BindingIdentifier[2,0].BindingInitialization","Some((step 1, 2:12-76))","Vector(return [? %0])"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.c, 18:24-81))","call %1 = clo<AsyncGeneratorCompleteStep>(generator, result, true)"
289475.js,"EqualityExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 3, 4:37-67))","call %0 = clo<IteratorStep>(iteratorRecord)"
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 1, 2:12-126))","Vector([? %0])"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.b, 35:47-72))","Vector(V = R.Value)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.c, 36:46-77))","Vector(return [? %15])"
191071.js,"ForStatement[1,1].ForLoopEvaluation","Some((step 3, 4:14-120))","Vector(return [? %1])"
312941.js,"BitwiseXORExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
202730.js,"WhileStatement[0,0].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","(< %12 %13.length)"
130780.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 8.g, 27:62-92))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#736]))"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 3, 4:12-69))","Vector(let next = %1)"
286329.js,"INTRINSICS.Array.prototype.find","Some((step 3, 4:53-83))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#1023]))"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 3, 4:26-68))","call %1 = clo<Completion>(%0)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 4, 5:15-45))","(&& (comp? next) (! (= next.Type ~normal~)))"
337825.js,"CaseClause[0,0].HasCallInTailPosition","Some((step 1, 2:17-43))","(! (= this[1] absent))"
71481.js,"CaseBlock[1,1].CaseBlockEvaluation","Some((step 13, 31:44-75))","Vector(return [? %11])"
